fight_id,date,event_name,name_a,name_b,has_real_odds,odds_a,odds_b,prob_a,prob_b,model_pick,model_edge,winner,model_correct,result,bet,bet_on,edge,units,stake,won,pnl_units,pnl,cumulative_units
0210e0130dcdffbb2ca56e1963011584,2022-01-15,UFC Fight Night: Kattar vs. Chikadze,Dakota Bush,Viacheslav Borshchev,True,175.0,-210.0,0.3972,0.6028,b,-0.0541,b,True,KO/TKO,False,,,0.0,0.0,,0.0,0.0,0.0
3ffe37c3c7dc7e111c142960ed6aa670,2022-01-15,UFC Fight Night: Kattar vs. Chikadze,Jake Collier,Chase Sherman,True,-150.0,115.0,0.5636,0.4364,a,-0.0038,a,True,Submission,False,,,0.0,0.0,,0.0,0.0,0.0
5b4c745177d78e2c6d93178e44c1127e,2022-01-15,UFC Fight Night: Kattar vs. Chikadze,Calvin Kattar,Giga Chikadze,True,-700.0,400.0,0.21,0.79,b,0.6252,a,False,Decision,False,,,0.0,0.0,,0.0,0.0,0.0
729b05109381d33dbebad0bf4417be8a,2022-01-15,UFC Fight Night: Kattar vs. Chikadze,Bill Algeo,Joanderson Brito,True,-295.0,210.0,0.5356,0.4644,a,-0.1761,a,True,Decision,False,,,0.0,0.0,,0.0,0.0,0.0
8256d0653cbbc3f8456fe3a37234d3e3,2022-01-15,UFC Fight Night: Kattar vs. Chikadze,TJ Brown,Charles Rosa,True,-1000.0,500.0,0.6847,0.3153,a,-0.1831,a,True,Decision,False,,,0.0,0.0,,0.0,0.0,0.0
95fa141f336d6d0c43abaa17e1a2c531,2022-01-15,UFC Fight Night: Kattar vs. Chikadze,Brian Kelleher,Kevin Croom,True,-575.0,360.0,0.5888,0.4112,a,-0.2269,a,True,Decision,False,,,0.0,0.0,,0.0,0.0,0.0
9ac1fd46aca174c932b6419af39084ba,2022-01-15,UFC Fight Night: Kattar vs. Chikadze,Brandon Royval,Rogerio Bontorin,True,360.0,-575.0,0.7361,0.2639,a,0.5518,a,True,Decision,False,,,0.0,0.0,,0.0,0.0,0.0
ab6bd46a4c1557156e2333aeafd298cf,2022-01-15,UFC Fight Night: Kattar vs. Chikadze,Court McGee,Ramiz Brahimaj,True,-340.0,240.0,0.5098,0.4902,a,-0.229,a,True,Decision,False,,,0.0,0.0,,0.0,0.0,0.0
b0825264d3dd72e6c85837f2c0b471e8,2022-01-15,UFC Fight Night: Kattar vs. Chikadze,Katlyn Cerminara,Jennifer Maia,True,-4000.0,1000.0,0.6561,0.3439,a,-0.2797,a,True,Decision,False,,,0.0,0.0,,0.0,0.0,0.0
e968599758d1984dde89f45b5fe4750c,2022-01-15,UFC Fight Night: Kattar vs. Chikadze,Jamie Pickett,Joseph Holmes,True,-700.0,400.0,0.3998,0.6002,b,0.4354,a,False,Decision,False,,,0.0,0.0,,0.0,0.0,0.0
0c6d2c0e036e0cc0913cdc1c1b86796c,2022-01-22,UFC 270: Ngannou vs. Gane,Raoni Barcelos,Victor Henry,True,275.0,-400.0,0.806,0.194,a,0.5719,b,False,Decision,False,,,0.0,0.0,,0.0,0.0,0.0
32a500ca0cca84bc52baf76d2898f285,2022-01-22,UFC 270: Ngannou vs. Gane,Michel Pereira,Andre Fialho,True,-600.0,370.0,0.7124,0.2876,a,-0.1081,a,True,Decision,False,,,0.0,0.0,,0.0,0.0,0.0
426479e2b8a2c53189c3678eb975e8e0,2022-01-22,UFC 270: Ngannou vs. Gane,Michael Morales,Trevin Giles,True,-110.0,-110.0,0.46,0.54,b,0.04,a,False,KO/TKO,False,,,0.0,0.0,,0.0,0.0,0.0
4bdb8afde75f8e540194c05b10eda0ec,2022-01-22,UFC 270: Ngannou vs. Gane,Matt Frevola,Genaro Valdez,True,-220.0,165.0,0.5466,0.4534,a,-0.1084,a,True,KO/TKO,False,,,0.0,0.0,,0.0,0.0,0.0
5b0776ad0eb634cc51ec84507f69ed1e,2022-01-22,UFC 270: Ngannou vs. Gane,Cody Stamann,Said Nurmagomedov,True,140.0,-190.0,0.3749,0.6251,b,0.0059,b,True,Submission,False,,,0.0,0.0,,0.0,0.0,0.0
6abe9e0a6df7feb0f462e544eeca8460,2022-01-22,UFC 270: Ngannou vs. Gane,Brandon Moreno,Deiveson Figueiredo,True,135.0,-185.0,0.6403,0.3597,a,0.252,b,False,Decision,True,a,0.252,5.0,50.0,False,-5.0,-50.0,-5.0
90334ccc62cff5c9a732e728b8a84f17,2022-01-22,UFC 270: Ngannou vs. Gane,Francis Ngannou,Ciryl Gane,True,-220.0,160.0,0.3237,0.6763,b,0.3276,a,False,Decision,False,,,0.0,0.0,,0.0,0.0,-5.0
